decile,n,predicted_cate,realized_dr_effect,true_cate
1,1200,-0.12588488229712833,-0.04039780219264217,-0.06203331294129699
2,1200,-0.05206140055289407,-0.05648821206064372,-0.027702034426335835
3,1200,-0.008602309049432736,0.033344392712555064,-0.0005534742079741659
4,1200,0.026226288733207436,0.0331950288918403,0.01790281360011263
5,1200,0.05733980877842557,0.08488283932876696,0.045045599516754554
6,1200,0.0877370129950501,0.05688595827325475,0.07245549905545885
7,1200,0.12022051766223152,0.07815255432009914,0.09077926802564767
8,1200,0.15668706797791082,0.14738458287438694,0.11589007233161207
9,1200,0.20107833694739802,0.18552534862202363,0.15162219555194578
10,1200,0.2751541147151288,0.20399071959190487,0.19525348865987516
